ist_kodas;data;gydytojo_ID;pirminiu_trukme;priimtu_pirm_skc;visas_priemimo_laikas;visu_pac_skc;nuo;iki;iraso_sukurimo_data
300025907;2021-03-29;205418973;180;12;360;24;14:00;20:00;2021-03-30 03:00
300025907;2021-03-29;146333680;150;10;300;20;15:00;20:00;2021-03-30 03:00
300025907;2021-03-29;1096442;180;12;360;24;09:00;15:00;2021-03-30 03:00
300025907;2021-03-29;1111329;180;12;360;24;13:00;19:00;2021-03-30 03:00
300025907;2021-03-29;1096151;180;12;360;24;08:00;14:00;2021-03-30 03:00
300025907;2021-03-29;90952;150;10;300;20;13:30;18:30;2021-03-30 03:00









